N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
68,한미사이언스,"70,400","1,100",-1.54%,500,"47,382","67,305",1.67,"151,112",171.29,3.47,
69,오리온,"118,500",0,0.00%,500,"46,850","39,536",39.70,"83,076",17.61,15.50,
70,한진칼,"70,200",100,+0.14%,"2,500","46,516","66,263",15.66,"235,234",-57.17,-19.55,
71,맥쿼리인프라,"12,450",50,-0.40%,0,"46,338","372,192",15.05,"714,434",N/A,N/A,
72,유한양행,"64,200",100,-0.16%,"1,000","44,923","69,973",18.28,"247,339",46.83,11.06,
73,GS,"48,050",250,-0.52%,"5,000","44,646","92,915",18.35,"390,217",7.05,-2.82,
74,이마트,"159,500","1,000",+0.63%,"5,000","44,462","27,876",31.03,"90,695",11.00,4.05,
75,롯데지주,"41,500","1,000",-2.35%,200,"43,537","104,909",9.35,"686,943",-101.97,-3.03,
76,한미약품,"347,000","3,500",-1.00%,"2,500","41,912","12,078",13.82,"33,643",178.59,1.65,
77,삼성증권,"46,850",50,-0.11%,"5,000","41,837","89,300",28.05,"354,022",5.35,9.89,
78,현대차2우B,"113,000",500,+0.44%,"5,000","41,229","36,485",61.56,"114,535",13.68,N/A,
79,삼성중공업,"6,410",10,-0.16%,"5,000","40,383","630,000",14.13,"8,608,123",-2.25,-33.06,
80,대우조선해양,"37,500",300,+0.81%,"5,000","40,234","107,291",7.75,"624,042",-10.29,2.27,
81,쌍용C&E,"7,790",0,0.00%,100,"39,251","503,860",3.41,"934,949",28.43,7.92,
82,호텔신라,"99,900","1,600",-1.58%,"5,000","39,209","39,248",20.07,"497,123",-18.91,-36.74,
83,삼성카드,"33,800",50,+0.15%,"5,000","39,160","115,859",9.54,"243,010",9.82,5.69,
84,CJ대한통운,"170,000","1,500",+0.89%,"5,000","38,781","22,812",22.40,"46,681",32.30,3.89,
85,삼성엔지니어링,"19,650",250,-1.26%,"5,000","38,514","196,000",30.59,"5,712,564",13.61,16.75,
86,GS건설,"44,800",600,-1.32%,"5,000","38,300","85,491",27.97,"818,591",10.77,7.68,
87,녹십자,"327,500","2,000",+0.61%,"5,000","38,273","11,687",20.26,"80,165",38.22,7.48,
88,F&F,"497,000","14,000",+2.90%,500,"38,077","7,661",10.44,"95,361",N/A,N/A,
89,대우건설,"8,920",50,+0.56%,"5,000","37,074","415,623",9.33,"16,654,240",10.02,11.06,
90,NH투자증권,"13,150",50,-0.38%,"5,000","37,005","281,409",17.61,"775,347",4.92,10.32,
91,DB손해보험,"51,900",700,+1.37%,500,"36,745","70,800",43.22,"193,332",5.93,9.08,
92,팬오션,"6,680",100,-1.47%,"1,000","35,709","534,570",9.69,"5,553,841",28.43,3.25,
93,현대미포조선,"87,500","2,200",-2.45%,"5,000","34,949","39,942",10.71,"392,707",-106.84,-0.84,
94,신풍제약,"65,700",200,+0.31%,500,"34,811","52,985",9.85,"993,194",763.95,1.72,
95,롯데쇼핑,"122,500",0,0.00%,"5,000","34,654","28,289",11.43,"81,286",-4.60,-7.70,
96,휠라홀딩스,"56,800","1,400",-2.41%,"1,000","34,507","60,752",44.35,"604,476",18.12,10.94,
97,한국항공우주,"34,200",0,0.00%,"5,000","33,336","97,475",13.05,"499,288",432.91,6.39,
98,CJ,"114,000","1,500",-1.30%,"5,000","33,262","29,177",17.76,"96,472",-300.79,1.89,
99,씨에스윈드,"78,500","1,200",-1.51%,500,"33,105","42,171",10.58,"1,682,381",63.26,8.19,
100,두산인프라코어,"14,600",100,+0.69%,"5,000","33,102","226,729",11.06,"7,937,697",13.89,6.47,
101,키움증권,"126,500","3,500",+2.85%,"5,000","33,102","26,167",22.18,"188,769",3.38,27.63,
102,한화생명,"3,790",75,-1.94%,"5,000","32,917","868,530",7.65,"5,666,006",7.03,1.90,
103,BGF리테일,"188,500","3,000",+1.62%,"1,000","32,580","17,284",31.69,"40,180",25.74,18.60,
104,한국가스공사,"34,500","1,100",+3.29%,"5,000","31,848","92,313",7.11,"1,291,197",-16.23,-2.24,
105,신세계,"318,500","1,000",+0.31%,"5,000","31,357","9,845",29.81,"80,890",-98.09,-2.81,
106,OCI,"130,500","3,000",-2.25%,"5,000","31,123","23,849",19.60,"622,165",-20.46,-9.89,
107,만도,"66,200",0,0.00%,"1,000","31,086","46,957",24.20,"407,980",66.80,0.37,
108,메리츠증권,"4,555",20,-0.44%,"1,000","31,053","681,731",14.11,"1,915,666",5.03,13.08,
109,동서,"31,100",250,+0.81%,500,"31,007","99,700",3.54,"198,002",27.11,8.61,
110,효성티앤씨,"716,000","5,000",-0.69%,"5,000","30,986","4,328",21.79,"27,490",12.09,25.10,
111,에스원,"81,300",300,-0.37%,500,"30,893","37,999",55.11,"44,268",20.67,10.48,
112,일진머티리얼즈,"66,600","1,100",+1.68%,500,"30,710","46,111",9.29,"219,215",76.38,7.23,
113,SK케미칼,"259,000","2,500",+0.97%,"5,000","30,436","11,751",19.00,"80,120",11.75,30.49,
114,두산퓨얼셀,"46,450",100,-0.21%,100,"30,422","65,494",13.17,"1,154,270",262.43,4.18,
115,현대오토에버,"108,500",0,0.00%,500,"29,755","27,424",1.26,"54,364",38.67,11.09,
116,GS리테일,"38,450",550,-1.41%,"1,000","29,606","77,000",12.44,"611,677",19.76,7.50,
117,제일기획,"25,300",0,0.00%,200,"29,105","115,041",33.28,"359,404",17.55,16.11,
118,한솔케미칼,"256,000","1,500",+0.59%,"5,000","29,018","11,335",40.97,"62,069",22.37,24.50,
119,KCC,"320,000","5,500",-1.69%,"5,000","28,437","8,886",12.16,"42,937",3.30,12.79,
120,LG화학우,"369,500",500,+0.14%,"5,000","28,410","7,689",65.80,"23,854",16.08,N/A,
121,하이트진로,"39,900",200,-0.50%,"5,000","27,983","70,134",7.61,"698,238",34.52,8.23,
122,현대차우,"113,500",500,+0.44%,"5,000","27,645","24,357",58.53,"69,906",13.74,N/A,
123,DL이앤씨,"139,000","1,000",+0.72%,"5,000","26,909","19,359",26.32,"132,303",N/A,N/A,
124,한샘,"111,500","3,000",-2.62%,"1,000","26,240","23,534",23.72,"65,628",35.77,10.83,
125,BNK금융지주,"7,930",50,-0.63%,"5,000","25,847","325,935",38.53,"1,263,661",4.50,6.11,
126,포스코인터내셔널,"20,650",100,+0.49%,"5,000","25,477","123,375",12.11,"328,356",9.85,7.69,
127,KODEX 단기채권,"102,855",5,0.00%,0,"25,460","24,753",0.00,"6,089",N/A,N/A,
128,DB하이텍,"56,600","2,800",+5.20%,"5,000","25,130","44,399",14.52,"2,555,840",15.87,23.07,
129,메리츠금융지주,"18,600",400,-2.11%,500,"24,926","134,011",7.75,"146,331",4.35,16.06,
130,더존비즈온,"81,200",800,+1.00%,500,"24,637","30,341",41.32,"182,777",45.21,15.09,
131,한화,"31,900",650,-2.00%,"5,000","23,912","74,959",19.13,"582,626",8.17,4.79,
132,TIGER 200,"43,395",395,+0.92%,0,"23,759","54,750",0.24,"2,070,455",N/A,N/A,
133,한화에어로스페이스,"46,900",700,-1.47%,"5,000","23,745","50,630",19.74,"473,847",10.63,4.78,
134,현대로템,"21,550",300,-1.37%,"5,000","23,520","109,142",5.50,"1,348,983",49.88,2.84,
135,현대위아,"85,500","1,500",+1.79%,"5,000","23,252","27,195",6.72,"524,717",151.06,1.96,
136,LS,"71,700",800,-1.10%,"5,000","23,087","32,200",14.41,"466,034",12.63,3.94,
137,현대엘리베이,"56,000",300,-0.53%,"5,000","22,856","40,815",29.39,"319,088",20.42,9.78,
138,현대백화점,"92,500",300,+0.33%,"5,000","21,647","23,402",19.20,"129,506",22.20,1.65,
139,메리츠화재,"17,900",150,-0.83%,500,"21,592","120,625",11.22,"238,974",4.53,16.91,
140,한전기술,"56,300",800,-1.40%,200,"21,518","38,220",2.12,"634,641",128.54,N/A,
141,현대해상,"24,050",300,-1.23%,500,"21,501","89,400",31.84,"1,075,507",5.81,7.13,
142,대웅,"36,850",150,+0.41%,500,"21,425","58,142",4.43,"186,376",24.90,15.10,
143,대한전선,"2,480",385,+18.38%,500,"21,241","856,473",3.97,"279,384,110",177.14,0.92,
144,동국제강,"22,200",650,-2.84%,"5,000","21,186","95,433",22.60,"1,805,079",10.06,3.35,
145,효성,"99,800","1,700",-1.67%,"5,000","21,029","21,071",9.85,"57,110",74.59,-2.26,
146,KODEX 200선물인버스2X,"1,900",40,-2.06%,0,"20,919","1,101,000",3.09,"234,809,089",N/A,N/A,
147,영원무역,"45,900",300,-0.65%,500,"20,339","44,311",26.23,"137,833",13.16,8.03,
148,오뚜기,"546,000","2,000",-0.36%,"5,000","20,049","3,672",14.27,"10,111",20.70,7.93,
149,한전KPS,"43,750",950,-2.13%,200,"19,688","45,000",8.99,"395,655",18.24,8.23,
150,KODEX 단기채권PLUS,"103,150",5,0.00%,0,"19,576","18,978",0.00,"1,232,249",N/A,N/A,
151,HDC현대산업개발,"29,650",50,+0.17%,"5,000","19,542","65,907",10.76,"559,818",9.44,8.85,
152,KG동부제철,"19,450",550,-2.75%,"5,000","19,452","100,009",0.39,"375,022",21.56,7.18,
153,한국앤컴퍼니,"20,400",150,-0.73%,500,"19,367","94,935",9.86,"181,700",9.41,5.08,
154,한화시스템,"17,550",0,0.00%,"5,000","19,345","110,230",2.10,"397,025",20.08,9.35,
155,농심,"301,500","3,000",-0.99%,"5,000","18,339","6,083",14.91,"42,863",14.24,7.50,
156,대웅제약,"158,000","2,000",+1.28%,"2,500","18,307","11,587",5.46,"56,850",-165.97,2.38,
157,아이에스동서,"59,100",600,-1.01%,500,"18,258","30,893",5.37,"150,170",14.28,10.92,
158,DL,"83,800","1,000",-1.18%,"5,000","17,561","20,956",16.54,"155,181",4.49,11.84,
159,LS ELECTRIC,"57,600",300,-0.52%,"5,000","17,280","30,000",15.00,"76,948",21.96,6.15,
160,한미반도체,"34,900","1,900",+5.76%,200,"17,261","49,460",5.90,"2,367,091",28.51,21.03,
161,프레스티지바이오파마,"28,700",300,+1.06%,0,"17,248","60,096",63.60,"121,048",-85.42,N/A,
162,KODEX 레버리지,"28,645",520,+1.85%,0,"17,187","60,000",3.86,"19,280,556",N/A,N/A,
163,롯데정밀화학,"66,200",500,-0.75%,"5,000","17,080","25,800",20.75,"191,780",8.70,12.65,
164,코오롱인더,"63,000","1,200",-1.87%,"5,000","16,997","26,979",18.47,"292,072",20.87,9.70,
165,대한유화,"261,000","1,000",+0.38%,"5,000","16,965","6,500",20.69,"64,515",7.44,6.93,
166,효성첨단소재,"378,500",0,0.00%,"5,000","16,957","4,480",10.56,"27,468",46.72,0.03,
167,신세계인터내셔날,"224,000","5,500",-2.40%,"5,000","15,994","7,140",4.93,"48,814",22.96,8.24,
168,녹십자홀딩스,"33,950",650,+1.95%,500,"15,966","47,028",5.01,"223,545",9.01,19.74,
169,DGB금융지주,"9,420",50,-0.53%,"5,000","15,934","169,146",48.70,"464,585",4.34,6.93,
170,지누스,"99,800",700,-0.70%,500,"15,769","15,800",23.40,"97,648",32.94,11.61,
171,KODEX 삼성그룹,"10,075",125,+1.26%,0,"15,727","156,100",0.03,"517,156",N/A,N/A,
172,롯데관광개발,"22,400",100,-0.44%,500,"15,518","69,276",5.58,"894,792",-12.53,-30.43,
173,에스엘,"31,950",150,+0.47%,500,"15,401","48,203",16.17,"253,647",13.95,4.74,
174,솔루스첨단소재,"50,300",350,+0.70%,100,"15,387","30,590",4.79,"144,577",-138.95,-5.10,
175,JB금융지주,"7,670",30,-0.39%,"5,000","15,109","196,983",41.08,"350,756",3.78,10.06,
176,LG생활건강우,"715,000","7,000",+0.99%,"5,000","15,013","2,100",85.20,"3,630",15.41,N/A,
177,금호타이어,"5,210",20,-0.38%,"5,000","14,966","287,260",4.74,"611,981",-98.30,-6.74,
178,SK네트웍스,"6,030",130,-2.11%,"2,500","14,966","248,188",12.86,"1,455,561",14.46,1.63,
179,종근당,"130,500",0,0.00%,"2,500","14,911","11,426",8.17,"42,165",16.79,17.88,
180,부광약품,"20,950",0,0.00%,500,"14,888","71,063",4.56,"292,365",-157.52,-2.46,
181,KODEX 200TR,"14,170",115,+0.82%,0,"14,836","104,700",0.01,"90,686",N/A,N/A,
182,롯데리츠,"6,040",130,-2.11%,500,"14,675","242,969",9.64,"2,047,238",35.12,1.83,
183,NHN,"74,900",100,-0.13%,500,"14,654","19,565",10.92,"65,139",54.67,1.35,
184,KODEX MSCI Korea TR,"13,880",145,+1.06%,0,"14,491","104,400",0.00,"288,931",N/A,N/A,
185,KODEX 종합채권(AA-이상)액티브,"108,325",10,+0.01%,0,"14,339","13,237",0.00,"5,489",N/A,N/A,
186,롯데칠성,"159,000","3,500",-2.15%,500,"14,270","8,975",9.07,"80,145",214.29,-1.00,
187,두산,"85,900","4,100",-4.56%,"5,000","14,194","16,524",9.85,"256,429",-10.34,-34.34,
188,태광산업,"1,272,000","21,000",+1.68%,"5,000","14,162","1,113",7.30,"2,253",11.21,3.26,
189,한국콜마,"61,700",100,-0.16%,500,"14,118","22,881",29.12,"297,004",8.81,29.27,
190,세방전지,"100,500",0,0.00%,500,"14,070","14,000",25.73,"138,917",18.24,6.14,
191,KODEX 2차전지산업,"18,210",270,+1.51%,0,"13,658","75,000",0.03,"628,464",N/A,N/A,
192,코스맥스,"133,000","1,500",+1.14%,500,"13,366","10,050",21.69,"148,383",41.84,6.23,
193,이노션,"66,200",400,+0.61%,500,"13,240","20,000",30.29,"57,486",22.54,8.28,
194,TIGER 단기통안채,"100,230",5,0.00%,0,"13,140","13,110",0.90,"8,826",N/A,N/A,
195,LG전자우,"76,000","3,900",+5.41%,"5,000","13,061","17,186",40.75,"337,191",7.08,N/A,
196,솔루엠,"26,350",50,-0.19%,500,"13,001","49,339",2.84,"619,813",25.78,43.26,
197,아시아나항공,"17,200",0,0.00%,"5,000","12,799","74,412",20.76,0,-19.07,-43.83,
198,하나투어,"91,800",800,-0.86%,500,"12,796","13,939",8.03,"353,043",-7.01,-108.93,
199,영풍,"692,000","11,000",-1.56%,"5,000","12,747","1,842",4.77,"3,180",9.31,4.03,
200,더블유게임즈,"67,800",800,+1.19%,500,"12,458","18,375",11.40,"79,182",11.04,16.94,
